"scientificName","decimalLongitude","decimalLatitude"
"Intellagama lesueurii",150.987796,-34.227706
"Intellagama lesueurii",151.183276,-33.578832
"Intellagama lesueurii",149.108918,-35.278878
"Intellagama lesueurii",152.977125,-27.477218
"Intellagama lesueurii",151.216654,-33.865901
"Intellagama lesueurii",149.109766,-35.278146
"Intellagama lesueurii",152.976938,-27.477333
"Intellagama lesueurii",151.29324,-33.801118
"Intellagama lesueurii",151.109117,-33.628941
"Intellagama lesueurii",151.216663,-33.86584
"Intellagama lesueurii",152.978383,-27.476039
"Chlamydosaurus kingii",150.884066,-33.766905
"Intellagama lesueurii",150.677249,-33.748642
"Intellagama lesueurii",152.976,-27.476808
"Intellagama lesueurii",151.202951,-33.876241
"Intellagama lesueurii",151.04568,-33.64154
"Pogona barbata",150.81,-33.857
"Intellagama lesueurii",151.145215,-33.968585
"Intellagama lesueurii",151.008368,-33.791132
"Intellagama lesueurii",150.996372,-33.807786
"Intellagama lesueurii",150.656372,-33.767426
"Intellagama lesueurii",151.153776,-33.617517
"Intellagama lesueurii",152.976986,-27.476996
"Intellagama lesueurii",150.767164,-34.069852
"Intellagama lesueurii",151.262306,-33.789571
"Intellagama lesueurii",150.673282,-33.752444
"Intellagama lesueurii",152.976751,-27.476984
"Intellagama lesueurii",153.134722,-30.266958
"Chlamydosaurus kingii",151.151583,-34.08392
"Intellagama lesueurii",151.216035,-33.865213
"Intellagama lesueurii",151.214808,-33.866094
"Intellagama lesueurii",150.696568,-33.616423
"Intellagama lesueurii",152.976099,-27.476791
"Intellagama lesueurii",149.108918,-35.278878
"Intellagama lesueurii",152.976263,-27.476683
"Intellagama lesueurii",152.976922,-27.47693
"Intellagama lesueurii",151.099972,-33.753604
"Intellagama lesueurii",149.108918,-35.278878
"Intellagama lesueurii",151.298741,-33.809412
"Intellagama lesueurii",152.974895,-27.477594
"Intellagama lesueurii",152.977466,-27.474899
"Intellagama lesueurii",152.385335,-32.169053
"Intellagama lesueurii",151.446118,-33.449738
"Intellagama lesueurii",150.855395,-33.443778
"Intellagama lesueurii",150.747349,-33.794488
"Intellagama lesueurii",151.044174,-33.732942
"Intellagama lesueurii",150.917953,-33.675322
"Intellagama lesueurii",150.83969,-33.606023
"Intellagama lesueurii",153.113517,-26.673808
"Intellagama lesueurii",150.998363,-33.805575
"Intellagama lesueurii",150.674825,-33.751275
"Intellagama lesueurii",150.743024,-33.593116
"Intellagama lesueurii",151.299454,-33.806466
"Intellagama lesueurii",150.998852,-33.811899
"Intellagama lesueurii",150.904212,-34.397814
"Intellagama lesueurii",152.976073,-27.476772
"Intellagama lesueurii",152.973564,-27.477112
"Intellagama lesueurii",149.0625,-25.799891
"Intellagama lesueurii",152.976018,-27.47685
"Intellagama lesueurii",151.203141,-33.876328
"Intellagama lesueurii",150.998145,-33.802632
"Intellagama lesueurii",152.977588,-27.474651
"Intellagama lesueurii",152.976842,-27.477359
"Intellagama lesueurii",152.977091,-27.476515
"Ctenophorus caudicinctus",151.241913,-33.843022
"Intellagama lesueurii",150.616934,-33.917148
"Intellagama lesueurii",151.216672,-33.865887
"Intellagama lesueurii",151.016208,-33.844109
"Intellagama lesueurii",152.977899,-27.474865
"Intellagama lesueurii",151.251248,-33.479205
"Intellagama lesueurii",152.977777,-27.476983
"Intellagama lesueurii",152.976192,-27.477016
"Intellagama lesueurii",151.182505,-33.719379
"Intellagama lesueurii",152.976733,-27.476902
"Intellagama lesueurii",152.97609,-27.476762
"Intellagama lesueurii",150.675045,-33.75091
"Intellagama lesueurii",151.03335,-33.779015
"Intellagama lesueurii",152.976684,-27.476913
"Intellagama lesueurii",149.116686,-35.279425
"Intellagama lesueurii",151.217079,-33.865271
"Intellagama lesueurii",152.97899,-27.476519
"Intellagama lesueurii",116.003935,-31.761619
"Intellagama lesueurii",150.86239,-33.750613
"Intellagama lesueurii",151.113742,-33.828783
"Intellagama lesueurii",152.977582,-27.474539
"Intellagama lesueurii",151.022881,-33.811715
"Intellagama lesueurii",152.976535,-27.477034
"Intellagama lesueurii",151.132921,-33.721955
"Chlamydosaurus kingii",115.834751,-32.058941
"Intellagama lesueurii",151.090769,-33.816094
"Chlamydosaurus kingii",131.023917,-25.343067
"Intellagama lesueurii",151.215727,-33.86918
"Intellagama lesueurii",152.975947,-27.476817
"Intellagama lesueurii",152.976732,-27.476876
"Intellagama lesueurii",151.248928,-33.777366
"Intellagama lesueurii",150.959835,-33.701896
"Intellagama lesueurii",149.114222,-35.295121
"Intellagama lesueurii",151.157357,-33.791913
"Intellagama lesueurii",151.216289,-33.86583
"Intellagama lesueurii",152.978672,-27.47591
"Intellagama lesueurii",152.974771,-27.47753
"Intellagama lesueurii",152.977589,-27.475049
"Intellagama lesueurii",151.217222,-33.864167
"Intellagama lesueurii",150.96602,-33.704833
"Intellagama lesueurii",151.013173,-34.00996
"Intellagama lesueurii",153.429786,-28.036321
"Intellagama lesueurii",151.009186,-33.789728
"Ctenophorus caudicinctus",119.218259,-22.56862
"Intellagama lesueurii",152.977663,-27.475008
"Intellagama lesueurii",151.220653,-33.863817
"Intellagama lesueurii",150.61152,-33.719143
"Intellagama lesueurii",151.216743,-33.865913
"Intellagama lesueurii",151.202762,-33.876519
"Intellagama lesueurii",151.205692,-33.756458
"Intellagama lesueurii",150.575857,-34.011113
"Intellagama lesueurii",149.108765,-35.273697
"Intellagama lesueurii",150.86885,-34.420651
"Intellagama lesueurii",152.973692,-27.477076
"Intellagama lesueurii",151.220652,-33.863817
"Intellagama lesueurii",151.231987,-33.547125
"Intellagama lesueurii",150.960695,-33.8795
"Intellagama lesueurii",151.299484,-33.806475
"Intellagama lesueurii",116.197266,-31.655647
"Intellagama lesueurii",153.34616,-28.639681
"Intellagama lesueurii",150.684773,-34.167164
"Intellagama lesueurii",151.252429,-33.840405
"Intellagama lesueurii",150.678918,-33.61951
"Intellagama lesueurii",150.926612,-33.799038
"Intellagama lesueurii",151.067719,-33.848913
"Ctenophorus caudicinctus",115.830876,-31.971783
"Intellagama lesueurii",150.572925,-33.694689
"Intellagama lesueurii",150.767132,-34.069843
"Intellagama lesueurii",151.216703,-33.866085
"Intellagama lesueurii",150.897077,-33.517554
